experiment_name,mutation_type,crossover_type,survivor_method,selection_method,seed,accuracy,fitness,num_features,runtime_seconds
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,62,0.6784491939862106,0.6753185603018753,247,188.44784331321716
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,63,0.6900628305556933,0.6874851189286953,235,197.28440308570862
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,64,0.6959957175272902,0.691253288631704,246,183.0594277381897
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,65,0.7008996762305715,0.694381137178943,255,218.27091646194458
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,66,0.6921288119627929,0.6892016450522279,236,158.7646679878235
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,67,0.6898042998412852,0.6895381555714425,219,144.2127809524536
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,68,0.6916105517825966,0.6907352108900512,222,171.68348050117493
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,69,0.7014188687729528,0.6957055533242289,249,200.3003249168396
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,70,0.6849039373921457,0.6814135436529312,245,187.13514137268066
EXP-B_crossover_single_point,bitflip,single_point,elitist,tournament,71,0.6874819188333432,0.6868765840928661,223,194.97515082359314
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,42,0.6874821852225388,0.6830196809859992,250,187.29610323905945
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,43,0.6590937546118629,0.6627558077221052,213,135.07382225990295
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,44,0.6603836110973477,0.6624881071304701,223,132.04749417304993
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,45,0.6696763317994643,0.6701372700480893,228,105.92023420333862
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,46,0.7052880386456134,0.7019020919239093,230,192.25152826309204
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,47,0.6802551795383263,0.6815153758702079,215,139.41959857940674
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,48,0.7101910649867098,0.7064576727737532,229,196.2765793800354
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,49,0.7171594067619168,0.7120148946571536,234,185.0653100013733
EXP-B_crossover_two_point,bitflip,two_point,elitist,tournament,50,0.6820638289823986,0.6822860175127301,221,179.4533965587616
